ID,Carriera Triennale,Scuola Triennale,CDS Triennale,Maturità,Carriera Magistrale,Scuola Magistrale,CDS Magistrale
99689590,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,ARTISTICA (QUINQUENNALE),ATTIVO,Arc - Urb - Cost,ARCHITETTURA - PROGETTAZIONE ARCHITETTONICA
99622241,RINUNCIA AGLI STUDI,Arc - Urb - Cost,ARCHITETTURA E PRODUZIONE EDILIZIA,TECNICA PER GEOMETRI,#N/D,,
99594978,TITOLO CONSEGUITO,Des,DESIGN DELLA COMUNICAZIONE,ARTISTICA (QUINQUENNALE),#N/D,,
99597805,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA DELLE COSTRUZIONI,SCIENTIFICA,#N/D,,
99626756,RINUNCIA AGLI STUDI,Ing Ind - Inf,INGEGNERIA AEROSPAZIALE,SCIENTIFICA,#N/D,,
99597893,ATTIVO,Arc - Urb - Cost,URBANISTICA,TECNICA PER GEOMETRI,#N/D,,
99693048,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA ENERGETICA
99671645,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA AMBIENTALE,ARTISTICA (QUINQUENNALE),TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA
99599850,CONGEDATO,Arc - Urb - Cost,ARCHITETTURA DELLE COSTRUZIONI,ARTISTICA (QUINQUENNALE),#N/D,,
99597845,TITOLO CONSEGUITO,Des,DESIGN DEL PRODOTTO INDUSTRIALE,SCIENTIFICA,#N/D,,
99691893,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MATEMATICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MATEMATICA
99871033,DECADUTO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,TECNICA PER GEOMETRI,#N/D,,
99712024,DECADUTO,Ing Ind - Inf,INGEGNERIA CHIMICA,SCIENTIFICA,#N/D,,
99706794,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,#N/D,,
99624420,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA DELLE COSTRUZIONI,ARTISTICA (QUINQUENNALE),TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI
99593468,DECADUTO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,ARTISTICA - SEZIONE I,#N/D,,
99674144,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA - PROGETTAZIONE ARCHITETTONICA
99688914,DECADUTO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,TECNICA PER GEOMETRI,#N/D,,
99675164,CONGEDATO,Ing - Civ,INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,TECNICA INDUSTRIALE,#N/D,,
99675154,CONGEDATO,Ing Ind - Inf,INGEGNERIA AEROSPAZIALE,SCIENTIFICA,#N/D,,
99622383,RINUNCIA AGLI STUDI,Arc - Urb - Cost,ARCHITETTURA E PRODUZIONE EDILIZIA,TECNICA PER GEOMETRI,#N/D,,
99598691,DECADUTO,Des,DESIGN DELLA COMUNICAZIONE,ARTISTICA (QUINQUENNALE),#N/D,,
99988133,ATTIVO,Ing Ind - Inf,INGEGNERIA INFORMATICA,RAGIONIERE,#N/D,,
99606504,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA GESTIONALE,SCIENTIFICA,#N/D,,
99608694,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MATEMATICA,SCIENTIFICA,#N/D,,
99799729,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA AMBIENTALE,ARTISTICA (QUINQUENNALE),#N/D,,
99671625,RINUNCIA AGLI STUDI,Arc - Urb - Cost,ARCHITETTURA E PRODUZIONE EDILIZIA,ARTISTICA (QUINQUENNALE),#N/D,,
99807697,DECADUTO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,TECNICA PER GEOMETRI,#N/D,,
99706313,TITOLO CONSEGUITO,Des,DESIGN DELLA MODA,LINGUISTICA,#N/D,,
99717632,DECADUTO,Arc - Urb - Cost,ARCHITETTURA AMBIENTALE,TECNICA PER GEOMETRI,#N/D,,
99712223,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MATEMATICA,CLASSICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MATEMATICA
99606316,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA MATEMATICA,SCIENTIFICA,#N/D,,
99603884,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA AEROSPAZIALE,SCIENTIFICA,#N/D,,
99673079,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,LINGUISTICA,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA
99592931,RINUNCIA AGLI STUDI,Arc - Urb - Cost,ARCHITETTURA DELLE COSTRUZIONI,CLASSICA,#N/D,,
99739509,DECADUTO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,SCIENTIFICA,#N/D,,
99620450,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA AMBIENTALE,ARTISTICA (QUINQUENNALE),TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA
99671696,RICHIESTA SOSPENSIONE AGLI STUDI,Arc - Urb - Cost,ARCHITETTURA E PRODUZIONE EDILIZIA,ARTISTICA (QUINQUENNALE),#N/D,,
99987623,DECADUTO,Ing Ind - Inf,INGEGNERIA ELETTRONICA,SCIENTIFICA,#N/D,,
99688960,TITOLO CONSEGUITO,Des,DESIGN DEL PRODOTTO INDUSTRIALE,SCIENTIFICA,#N/D,,
99655081,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA BIOMEDICA,SCIENTIFICA,TITOLO CONSEGUITO,Ing Ind - Inf,INGEGNERIA BIOMEDICA
99677945,DECADUTO,Ing Ind - Inf,INGEGNERIA CHIMICA,SCIENTIFICA,#N/D,,
99690241,TITOLO CONSEGUITO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,CLASSICA,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA - PROGETTAZIONE ARCHITETTONICA
99689820,TITOLO CONSEGUITO,Arc - Urb - Cost,ARCHITETTURA AMBIENTALE,SCIENTIFICA,#N/D,,
99690377,DECADUTO,Arc - Urb - Cost,SCIENZE DELL'ARCHITETTURA,TECNICA PER GEOMETRI,#N/D,,
99690475,ATTIVO,Des,DESIGN DELLA COMUNICAZIONE,SCIENTIFICA,#N/D,,
